20:00:10.405615 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 46337:47785, ack 1, win 1358, options [nop,nop,TS val 166964 ecr 4294906846], length 1448
20:00:10.422158 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 17377:18825, ack 1, win 1358, options [nop,nop,TS val 166561 ecr 4294906444], length 1448
20:00:10.516264 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 726, options [nop,nop,TS val 4294906946 ecr 165951,nop,nop,sack 3 {37649:39097}{28961:36201}{21721:27513}], length 0
20:00:10.516545 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 47785:49233, ack 1, win 1358, options [nop,nop,TS val 167075 ecr 4294906946], length 1448
20:00:10.591482 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 27513:28961, ack 1, win 1358, options [nop,nop,TS val 166561 ecr 4294906444], length 1448
20:00:10.618252 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 39097:40545, ack 1, win 1358, options [nop,nop,TS val 166650 ecr 4294906541], length 1448
20:00:10.694593 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 40545:41993, ack 1, win 1358, options [nop,nop,TS val 166721 ecr 4294906640], length 1448
20:00:10.768357 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 41993:43441, ack 1, win 1358, options [nop,nop,TS val 166734 ecr 4294906744], length 1448
20:00:10.869516 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 43441:44889, ack 1, win 1358, options [nop,nop,TS val 166879 ecr 4294906759], length 1448
20:00:10.883259 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 36201:37649, ack 1, win 1358, options [nop,nop,TS val 166964 ecr 4294906846], length 1448
20:00:10.897261 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 44889:46337, ack 1, win 1358, options [nop,nop,TS val 166964 ecr 4294906846], length 1448
20:00:10.987305 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 749, options [nop,nop,TS val 4294907368 ecr 165951,nop,nop,sack 3 {17377:20273}{37649:39097}{28961:36201}], length 0
20:00:10.987649 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 13033:14481, ack 1, win 1358, options [nop,nop,TS val 167546 ecr 4294907368], length 1448
20:00:11.078382 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 772, options [nop,nop,TS val 4294907469 ecr 165951,nop,nop,sack 3 {21721:36201}{17377:20273}{37649:39097}], length 0
20:00:11.078686 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 49233:50681, ack 1, win 1358, options [nop,nop,TS val 167637 ecr 4294907469], length 1448
