20:01:08.244758 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 915137:916585, ack 1, win 1358, options [nop,nop,TS val 224797 ecr 4294964698], length 1448
20:01:08.350412 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294964815 ecr 223289,nop,nop,sack 2 {922377:928169}{916585:920929}], length 0
20:01:08.350777 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 920929:922377, ack 1, win 1358, options [nop,nop,TS val 224909 ecr 4294964815], length 1448
20:01:08.426893 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 920929:922377, ack 1, win 1358, options [nop,nop,TS val 224909 ecr 4294964815], length 1448
20:01:08.452613 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294964912 ecr 223289,nop,nop,sack 2 {922377:929617}{916585:920929}], length 0
20:01:08.547743 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294964999 ecr 223289,nop,nop,sack 2 {922377:931065}{916585:920929}], length 0
20:01:08.746797 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294965198 ecr 223289,nop,nop,sack 2 {922377:932513}{916585:920929}], length 0
20:01:08.747113 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 939753:941201, ack 1, win 1358, options [nop,nop,TS val 225306 ecr 4294965198], length 1448
20:01:08.756952 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 939753:941201, ack 1, win 1358, options [nop,nop,TS val 225306 ecr 4294965198], length 1448
20:01:08.837074 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294965212 ecr 223289,nop,nop,sack 2 {922377:933961}{916585:920929}], length 0
20:01:08.837328 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 941201:942649, ack 1, win 1358, options [nop,nop,TS val 225396 ecr 4294965212], length 1448
20:01:08.847382 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 941201:942649, ack 1, win 1358, options [nop,nop,TS val 225396 ecr 4294965212], length 1448
20:01:08.934905 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294965315 ecr 223289,nop,nop,sack 2 {922377:935409}{916585:920929}], length 0
20:01:08.935281 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 942649:944097, ack 1, win 1358, options [nop,nop,TS val 225494 ecr 4294965315], length 1448
20:01:08.942892 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 942649:944097, ack 1, win 1358, options [nop,nop,TS val 225494 ecr 4294965315], length 1448
20:01:08.953223 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294965410 ecr 223289,nop,nop,sack 2 {922377:936857}{916585:920929}], length 0
20:01:08.953597 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 944097:945545, ack 1, win 1358, options [nop,nop,TS val 225512 ecr 4294965410], length 1448
20:01:09.038024 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 944097:945545, ack 1, win 1358, options [nop,nop,TS val 225512 ecr 4294965410], length 1448
20:01:09.046305 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294965507 ecr 223289,nop,nop,sack 2 {922377:938305}{916585:920929}], length 0
20:01:09.046652 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 945545:946993, ack 1, win 1358, options [nop,nop,TS val 225605 ecr 4294965507], length 1448
20:01:09.062800 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 945545:946993, ack 1, win 1358, options [nop,nop,TS val 225605 ecr 4294965507], length 1448
20:01:09.136949 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 915137, win 1424, options [nop,nop,TS val 4294965518 ecr 223289,nop,nop,sack 2 {922377:939753}{916585:920929}], length 0
20:01:09.137288 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 946993:948441, ack 1, win 1358, options [nop,nop,TS val 225696 ecr 4294965518], length 1448
20:01:09.141213 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 946993:948441, ack 1, win 1358, options [nop,nop,TS val 225696 ecr 4294965518], length 1448
20:01:09.159161 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 920929, win 1379, options [nop,nop,TS val 4294965608 ecr 224797,nop,nop,sack 1 {922377:939753}], length 0
20:01:09.159530 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 948441:949889, ack 1, win 1358, options [nop,nop,TS val 225718 ecr 4294965608], length 1448
20:01:09.236979 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 948441:949889, ack 1, win 1358, options [nop,nop,TS val 225718 ecr 4294965608], length 1448
20:01:09.329511 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 939753, win 1334, options [nop,nop,TS val 4294965730 ecr 224909], length 0
20:01:09.329816 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 949889:951337, ack 1, win 1358, options [nop,nop,TS val 225888 ecr 4294965730], length 1448
20:01:09.333378 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 949889:951337, ack 1, win 1358, options [nop,nop,TS val 225888 ecr 4294965730], length 1448
20:01:09.457914 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 941201, win 1424, options [nop,nop,TS val 4294966026 ecr 225306], length 0
20:01:09.458347 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 951337:952785, ack 1, win 1358, options [nop,nop,TS val 226016 ecr 4294966026], length 1448
20:01:09.458409 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 952785:954233, ack 1, win 1358, options [nop,nop,TS val 226016 ecr 4294966026], length 1448
20:01:09.538036 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 951337:952785, ack 1, win 1358, options [nop,nop,TS val 226016 ecr 4294966026], length 1448
20:01:09.560439 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 952785:954233, ack 1, win 1358, options [nop,nop,TS val 226016 ecr 4294966026], length 1448
20:01:09.574519 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 942649, win 1424, options [nop,nop,TS val 4294966117 ecr 225396], length 0
20:01:09.574811 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 954233:955681, ack 1, win 1358, options [nop,nop,TS val 226133 ecr 4294966117], length 1448
20:01:09.640013 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 954233:955681, ack 1, win 1358, options [nop,nop,TS val 226133 ecr 4294966117], length 1448
20:01:09.659204 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 944097, win 1424, options [nop,nop,TS val 4294966224 ecr 225494], length 0
20:01:09.659520 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 955681:957129, ack 1, win 1358, options [nop,nop,TS val 226218 ecr 4294966224], length 1448
20:01:09.731899 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 955681:957129, ack 1, win 1358, options [nop,nop,TS val 226218 ecr 4294966224], length 1448
20:01:09.744796 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 945545, win 1424, options [nop,nop,TS val 4294966235 ecr 225512], length 0
20:01:09.745161 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 957129:958577, ack 1, win 1358, options [nop,nop,TS val 226303 ecr 4294966235], length 1448
20:01:09.745220 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 958577:960025, ack 1, win 1358, options [nop,nop,TS val 226303 ecr 4294966235], length 1448
20:01:09.754921 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 957129:958577, ack 1, win 1358, options [nop,nop,TS val 226303 ecr 4294966235], length 1448
20:01:09.834216 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 946993, win 1424, options [nop,nop,TS val 4294966309 ecr 225605], length 0
20:01:09.834500 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 960025:961473, ack 1, win 1358, options [nop,nop,TS val 226392 ecr 4294966309], length 1448
20:01:09.840127 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 958577:960025, ack 1, win 1358, options [nop,nop,TS val 226303 ecr 4294966235], length 1448
20:01:09.863303 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 960025:961473, ack 1, win 1358, options [nop,nop,TS val 226392 ecr 4294966309], length 1448
20:01:09.937809 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 948441, win 1424, options [nop,nop,TS val 4294966320 ecr 225696], length 0
20:01:09.938141 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 961473:962921, ack 1, win 1358, options [nop,nop,TS val 226496 ecr 4294966320], length 1448
20:01:09.950153 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 961473:962921, ack 1, win 1358, options [nop,nop,TS val 226496 ecr 4294966320], length 1448
20:01:09.960662 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 949889, win 1424, options [nop,nop,TS val 4294966426 ecr 225718], length 0
20:01:09.960927 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 962921:964369, ack 1, win 1358, options [nop,nop,TS val 226519 ecr 4294966426], length 1448
20:01:10.042387 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 962921:964369, ack 1, win 1358, options [nop,nop,TS val 226519 ecr 4294966426], length 1448
20:01:10.064417 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 951337, win 1424, options [nop,nop,TS val 4294966519 ecr 225888], length 0
20:01:10.064712 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 964369:965817, ack 1, win 1358, options [nop,nop,TS val 226623 ecr 4294966519], length 1448
20:01:10.135764 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 964369:965817, ack 1, win 1358, options [nop,nop,TS val 226623 ecr 4294966519], length 1448
20:01:10.256575 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 952785, win 1424, options [nop,nop,TS val 4294966721 ecr 226016], length 0
20:01:10.256916 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 965817:967265, ack 1, win 1358, options [nop,nop,TS val 226815 ecr 4294966721], length 1448
20:01:10.256996 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 967265:968713, ack 1, win 1358, options [nop,nop,TS val 226815 ecr 4294966721], length 1448
20:01:10.264736 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 965817:967265, ack 1, win 1358, options [nop,nop,TS val 226815 ecr 4294966721], length 1448
20:01:10.353182 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 967265:968713, ack 1, win 1358, options [nop,nop,TS val 226815 ecr 4294966721], length 1448
20:01:10.457491 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 954233, win 1424, options [nop,nop,TS val 4294966904 ecr 226016], length 0
20:01:10.457794 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 968713:970161, ack 1, win 1358, options [nop,nop,TS val 227016 ecr 4294966904], length 1448
20:01:10.464681 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 968713:970161, ack 1, win 1358, options [nop,nop,TS val 227016 ecr 4294966904], length 1448
20:01:10.562320 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 955681, win 1424, options [nop,nop,TS val 4294966927 ecr 226133], length 0
20:01:10.562614 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 970161:971609, ack 1, win 1358, options [nop,nop,TS val 227121 ecr 4294966927], length 1448
20:01:10.566559 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 970161:971609, ack 1, win 1358, options [nop,nop,TS val 227121 ecr 4294966927], length 1448
20:01:10.737035 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 958577, win 1424, options [nop,nop,TS val 4294967107 ecr 226303], length 0
20:01:10.737343 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 971609:973057, ack 1, win 1358, options [nop,nop,TS val 227296 ecr 4294967107], length 1448
20:01:10.737426 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 973057:974505, ack 1, win 1358, options [nop,nop,TS val 227296 ecr 4294967107], length 1448
20:01:10.748641 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 971609:973057, ack 1, win 1358, options [nop,nop,TS val 227296 ecr 4294967107], length 1448
20:01:10.768664 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 960025, win 1424, options [nop,nop,TS val 4294967118 ecr 226303], length 0
20:01:10.768983 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 974505:975953, ack 1, win 1358, options [nop,nop,TS val 227327 ecr 4294967118], length 1448
20:01:10.772231 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 973057:974505, ack 1, win 1358, options [nop,nop,TS val 227296 ecr 4294967107], length 1448
20:01:10.857214 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 962921, win 1424, options [nop,nop,TS val 4294967235 ecr 226392], length 0
20:01:10.857537 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 975953:977401, ack 1, win 1358, options [nop,nop,TS val 227416 ecr 4294967235], length 1448
20:01:10.857619 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 977401:978849, ack 1, win 1358, options [nop,nop,TS val 227416 ecr 4294967235], length 1448
20:01:10.865921 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 974505:975953, ack 1, win 1358, options [nop,nop,TS val 227327 ecr 4294967118], length 1448
20:01:10.943905 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 975953:977401, ack 1, win 1358, options [nop,nop,TS val 227416 ecr 4294967235], length 1448
20:01:10.953016 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 964369, win 1424, options [nop,nop,TS val 92 ecr 226519], length 0
20:01:10.953311 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 978849:980297, ack 1, win 1358, options [nop,nop,TS val 227511 ecr 92], length 1448
20:01:10.966172 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 977401:978849, ack 1, win 1358, options [nop,nop,TS val 227416 ecr 4294967235], length 1448
20:01:11.050346 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 978849:980297, ack 1, win 1358, options [nop,nop,TS val 227511 ecr 92], length 1448
20:01:11.058135 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 965817, win 1424, options [nop,nop,TS val 232 ecr 226623], length 0
20:01:11.058441 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 980297:981745, ack 1, win 1358, options [nop,nop,TS val 227616 ecr 232], length 1448
20:01:11.140482 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 980297:981745, ack 1, win 1358, options [nop,nop,TS val 227616 ecr 232], length 1448
20:01:11.164240 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 968713, win 1424, options [nop,nop,TS val 421 ecr 226815], length 0
20:01:11.164548 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 981745:983193, ack 1, win 1358, options [nop,nop,TS val 227722 ecr 421], length 1448
20:01:11.164645 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 983193:984641, ack 1, win 1358, options [nop,nop,TS val 227722 ecr 421], length 1448
20:01:11.164791 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 984641:986089, ack 1, win 1358, options [nop,nop,TS val 227722 ecr 421], length 1448
20:01:11.240436 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 981745:983193, ack 1, win 1358, options [nop,nop,TS val 227722 ecr 421], length 1448
20:01:11.276851 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 983193:984641, ack 1, win 1358, options [nop,nop,TS val 227722 ecr 421], length 1448
20:01:11.343394 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 984641:986089, ack 1, win 1358, options [nop,nop,TS val 227722 ecr 421], length 1448
20:01:11.361627 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 971609, win 1424, options [nop,nop,TS val 550 ecr 227016], length 0
20:01:11.361971 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 986089:987537, ack 1, win 1358, options [nop,nop,TS val 227921 ecr 550], length 1448
20:01:11.362036 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 987537:988985, ack 1, win 1358, options [nop,nop,TS val 227921 ecr 550], length 1448
20:01:11.369397 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 986089:987537, ack 1, win 1358, options [nop,nop,TS val 227921 ecr 550], length 1448
20:01:11.462036 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 987537:988985, ack 1, win 1358, options [nop,nop,TS val 227921 ecr 550], length 1448
20:01:11.551428 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 974505, win 1424, options [nop,nop,TS val 731 ecr 227296], length 0
20:01:11.551812 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 988985:990433, ack 1, win 1358, options [nop,nop,TS val 228110 ecr 731], length 1448
20:01:11.551878 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 990433:991881, ack 1, win 1358, options [nop,nop,TS val 228110 ecr 731], length 1448
20:01:11.558205 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 988985:990433, ack 1, win 1358, options [nop,nop,TS val 228110 ecr 731], length 1448
20:01:11.641243 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 990433:991881, ack 1, win 1358, options [nop,nop,TS val 228110 ecr 731], length 1448
20:01:11.655835 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 977401, win 1424, options [nop,nop,TS val 843 ecr 227327], length 0
20:01:11.656149 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 991881:993329, ack 1, win 1358, options [nop,nop,TS val 228215 ecr 843], length 1448
20:01:11.656210 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 993329:994777, ack 1, win 1358, options [nop,nop,TS val 228215 ecr 843], length 1448
20:01:11.663116 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 991881:993329, ack 1, win 1358, options [nop,nop,TS val 228215 ecr 843], length 1448
20:01:11.757529 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 993329:994777, ack 1, win 1358, options [nop,nop,TS val 228215 ecr 843], length 1448
20:01:11.855035 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 978849, win 1424, options [nop,nop,TS val 1000 ecr 227416], length 0
20:01:11.855381 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 994777:996225, ack 1, win 1358, options [nop,nop,TS val 228414 ecr 1000], length 1448
20:01:11.863359 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 994777:996225, ack 1, win 1358, options [nop,nop,TS val 228414 ecr 1000], length 1448
20:01:11.953446 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 981745, win 1424, options [nop,nop,TS val 1045 ecr 227511], length 0
20:01:11.953775 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 996225:997673, ack 1, win 1358, options [nop,nop,TS val 228512 ecr 1045], length 1448
20:01:11.953838 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 997673:999121, ack 1, win 1358, options [nop,nop,TS val 228512 ecr 1045], length 1448
20:01:11.976112 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 996225:997673, ack 1, win 1358, options [nop,nop,TS val 228512 ecr 1045], length 1448
20:01:12.055963 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 997673:999121, ack 1, win 1358, options [nop,nop,TS val 228512 ecr 1045], length 1448
20:01:12.071590 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 983193, win 1424, options [nop,nop,TS val 1304 ecr 227722], length 0
20:01:12.071934 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 999121:1000569, ack 1, win 1358, options [nop,nop,TS val 228630 ecr 1304], length 1448
20:01:12.143670 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 999121:1000569, ack 1, win 1358, options [nop,nop,TS val 228630 ecr 1304], length 1448
20:01:12.167455 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 986089, win 1424, options [nop,nop,TS val 1342 ecr 227722], length 0
20:01:12.167797 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1000569:1002017, ack 1, win 1358, options [nop,nop,TS val 228726 ecr 1342], length 1448
20:01:12.167859 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1002017:1003465, ack 1, win 1358, options [nop,nop,TS val 228726 ecr 1342], length 1448
20:01:12.174130 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1000569:1002017, ack 1, win 1358, options [nop,nop,TS val 228726 ecr 1342], length 1448
20:01:12.262282 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 988985, win 1424, options [nop,nop,TS val 1447 ecr 227921], length 0
20:01:12.262626 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1003465:1004913, ack 1, win 1358, options [nop,nop,TS val 228821 ecr 1447], length 1448
20:01:12.262688 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1004913:1006361, ack 1, win 1358, options [nop,nop,TS val 228821 ecr 1447], length 1448
20:01:12.269904 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1002017:1003465, ack 1, win 1358, options [nop,nop,TS val 228726 ecr 1342], length 1448
20:01:12.350532 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1003465:1004913, ack 1, win 1358, options [nop,nop,TS val 228821 ecr 1447], length 1448
20:01:12.372684 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1004913:1006361, ack 1, win 1358, options [nop,nop,TS val 228821 ecr 1447], length 1448
20:01:12.377014 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 991881, win 1424, options [nop,nop,TS val 1623 ecr 228110], length 0
20:01:12.377360 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1006361:1007809, ack 1, win 1358, options [nop,nop,TS val 228936 ecr 1623], length 1448
20:01:12.377424 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1007809:1009257, ack 1, win 1358, options [nop,nop,TS val 228936 ecr 1623], length 1448
20:01:12.466895 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1006361:1007809, ack 1, win 1358, options [nop,nop,TS val 228936 ecr 1623], length 1448
20:01:12.550186 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1007809:1009257, ack 1, win 1358, options [nop,nop,TS val 228936 ecr 1623], length 1448
20:01:12.571826 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 994777, win 1424, options [nop,nop,TS val 1729 ecr 228215], length 0
20:01:12.572167 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1009257:1010705, ack 1, win 1358, options [nop,nop,TS val 229131 ecr 1729], length 1448
20:01:12.572229 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1010705:1012153, ack 1, win 1358, options [nop,nop,TS val 229131 ecr 1729], length 1448
20:01:12.572363 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1012153:1013601, ack 1, win 1358, options [nop,nop,TS val 229131 ecr 1729], length 1448
20:01:12.579559 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1009257:1010705, ack 1, win 1358, options [nop,nop,TS val 229131 ecr 1729], length 1448
20:01:12.660439 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1010705:1012153, ack 1, win 1358, options [nop,nop,TS val 229131 ecr 1729], length 1448
20:01:12.753620 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1012153:1013601, ack 1, win 1358, options [nop,nop,TS val 229131 ecr 1729], length 1448
20:01:12.771292 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 997673, win 1424, options [nop,nop,TS val 1939 ecr 228414], length 0
20:01:12.771635 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1013601:1015049, ack 1, win 1358, options [nop,nop,TS val 229330 ecr 1939], length 1448
20:01:12.771699 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1015049:1016497, ack 1, win 1358, options [nop,nop,TS val 229330 ecr 1939], length 1448
20:01:12.776697 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1013601:1015049, ack 1, win 1358, options [nop,nop,TS val 229330 ecr 1939], length 1448
20:01:12.864693 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1015049:1016497, ack 1, win 1358, options [nop,nop,TS val 229330 ecr 1939], length 1448
20:01:12.962494 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1000569, win 1424, options [nop,nop,TS val 2133 ecr 228512], length 0
20:01:12.962846 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1016497:1017945, ack 1, win 1358, options [nop,nop,TS val 229521 ecr 2133], length 1448
20:01:12.962908 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1017945:1019393, ack 1, win 1358, options [nop,nop,TS val 229521 ecr 2133], length 1448
20:01:12.969655 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1016497:1017945, ack 1, win 1358, options [nop,nop,TS val 229521 ecr 2133], length 1448
20:01:13.054260 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1017945:1019393, ack 1, win 1358, options [nop,nop,TS val 229521 ecr 2133], length 1448
20:01:13.073556 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 1003465, win 1424, options [nop,nop,TS val 2250 ecr 228726], length 0
20:01:13.073949 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1019393:1020841, ack 1, win 1358, options [nop,nop,TS val 229632 ecr 2250], length 1448
20:01:13.074010 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1020841:1022289, ack 1, win 1358, options [nop,nop,TS val 229632 ecr 2250], length 1448
20:01:13.074167 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1022289:1023737, ack 1, win 1358, options [nop,nop,TS val 229632 ecr 2250], length 1448
20:01:13.083255 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 1019393:1020841, ack 1, win 1358, options [nop,nop,TS val 229632 ecr 2250], length 1448
